session_key,track,driver_number,avg_speed,max_speed
9550,Austria,1,205.269452845752,316
9550,Austria,4,206.9278248144664,322
9550,Austria,11,201.7246468384709,326
9550,Austria,16,203.40862243489462,327
9550,Austria,44,205.99304179530898,322
9550,Austria,63,205.02592287258403,323
9523,Monaco,1,142.98777449890775,292
9523,Monaco,4,143.412987012987,291
9523,Monaco,11,95.6309963099631,284
9523,Monaco,16,142.7650131558582,288
9523,Monaco,44,142.87218360956237,295
9523,Monaco,63,142.8491194486983,291
9590,Monza,1,229.47667601325517,345
9590,Monza,4,229.43299552446115,355
9590,Monza,11,223.84333282958036,354
9590,Monza,16,230.53718490684201,347
9590,Monza,44,226.2344248190698,346
9590,Monza,63,228.85330874820733,356
9625,Mexico,1,171.64576496327552,356
9625,Mexico,4,171.36764473891782,354
9625,Mexico,11,167.08651537448688,354
9625,Mexico,16,171.10768988463204,351
9625,Mexico,44,170.01099667002245,359
9625,Mexico,63,170.63078416149068,359
9636,Brazil,1,163.15089157931382,319
9636,Brazil,4,161.19339287716284,314
9636,Brazil,11,160.89792161975612,318
9636,Brazil,16,159.87725150100067,317
9636,Brazil,44,160.40640696506307,319
9636,Brazil,63,159.83363606034771,315
